SITE_ID,DEFAULT_SITE_REF,SITE_TYPE,SITE_SUBTYPE,DEFAULT_SITE_NUM_SYS,SITE_NAME,SITE_SHORTNAME,ALL_SITE_REFERENCES,TEXT_REF,ZONE,EASTING,NORTHING,LATITUDE,LONGITUDE,SPHEROID
616011,616011,Stream Gauging,Stream Gauging,AWRC,Swan River - Walyunga,Walyunga,16401 [WIN_ID]; 616011 [SITE_REF]; AS22 [TEXT2]; SWN4 [TEXT_REF],SWN4,50,411778.00,6486838.00,-31.750532184,116.068524205,GDA94
616018,616018,Stream Gauging,Stream Gauging,AWRC,Helena River - Craignish GS (HR02),Craignish GS (HR02),16408 [WIN_ID]; 616018 [SITE_REF]; HR02 [TEXT_REF],HR02,50,411965.00,6466315.00,-31.935681366,116.068640066,GDA94
616027,616027,Stream Gauging,Stream Gauging,AWRC,Canning River - Seaforth Gosnells,Seaforth,16417 [WIN_ID]; 616027 [SITE_REF]; CANNR [TEXT_REF]; SWS12 [TEXT_HIST],CANNR,50,407220.00,6448910.00,-32.092304541,116.016771762,GDA94
616042,616042,Stream Gauging,Stream Gauging,AWRC,Yule Brook - Brixton St Beckenham,Brixton St,16432 [WIN_ID]; 616042 [SITE_REF]; SWS3 [TEXT_HIST]; YULEB [TEXT_REF],YULEB,50,402466.00,6456282.00,-32.025406176,115.967145994,GDA94
616043,616043,Stream Gauging,Stream Gauging,AWRC,Mill St Main Drain - Palm Place Cannington,Palm Place,16433 [WIN_ID]; 616043 [SITE_REF]; MILLMD [TEXT_REF]; SWS1 [TEXT_HIST],MILLMD,50,397944.00,6457220.00,-32.016546246,115.919365919,GDA94
616047,616047,Stream Gauging,Stream Gauging,AWRC,Bickley Brook Main Drain - Austin Ave Kenwick,Austin Ave,16437 [WIN_ID]; 616047 [SITE_REF]; BICKB [TEXT_REF]; SWS4 [TEXT_HIST],BICKB,50,403329.00,6454317.00,-32.043205200,115.976086392,GDA94
6160712,6160712,Surface (other),Sampling location,AWRC,Ellen Brook - Avon Confluence,Avon Confluence,23020231 [WIN_ID]; 6160712 [SITE_REF]; EBAC [TEXT_REF],EBAC,50,405778.63,6481775.62,-31.795720000,116.004700000,GDA94
616076,616076,Stream Gauging,Stream Gauging,AWRC,Swan River - Upper Swan Bridge Great Northern Highway,Gt Northern Highway,12983252 [WIN_ID]; 616076 [SITE_REF]; SWANR [TEXT_REF]; SWN5 [TEXT_HIST],SWANR,50,407488.00,6483347.00,-31.781684749,116.022903611,GDA94
616082,616082,Stream Gauging,Stream Gauging,AWRC,Bayswater Main Drain - Slade St Bayswater,Slade Street,12476854 [WIN_ID]; 616082 [SITE_REF]; BAYMD [TEXT_REF]; SWB4 [TEXT2]; SWS10 [TEXT_HIST],BAYMD,50,398084.79,6467480.98,-31.924002425,115.921938859,GDA94
616084,616084,Stream Gauging,Stream Gauging,AWRC,Bennett Brook - Valley Brook Rd Caversham,Benara Rd (D/Stream),22001307 [WIN_ID]; 616084 [SITE_REF]; BENNB [TEXT_REF]; SWN12 [TEXT_HIST],BENNB,50,401589.00,6472648.00,-31.877702540,115.959525640,GDA94
616086,616086,Stream Gauging,Stream Gauging,AWRC,Helena River - Whiteman Rd,Whiteman Rd,12863074 [WIN_ID]; 616086 [SITE_REF]; HELENR [TEXT_REF]; HR01 [TEXT2]; SWN10 [TEXT_HIST],HELENR,50,406160.00,6470210.00,-31.900081093,116.007611462,GDA94
616087,616087,Stream Gauging,Stream Gauging,AWRC,Sth Belmont Main Drain - Abernethy Rd,Abernethy Rd,12883457 [WIN_ID]; 616087 [SITE_REF]; SWS11 [TEXT_REF],SWS11,50,397864.00,6464787.00,-31.948282960,115.919319380,GDA94
616088,616088,Stream Gauging,Stream Gauging,AWRC,Jane Brook - Sweeting Bridge Gt Nth Hwy Middle Swan,Sweeting Bridge,13819 [WIN_ID]; 616088 [SITE_REF]; AS02-JB [TEXT2]; JANEB [TEXT_REF]; SWN7 [TEXT_HIST],JANEB,50,406725.00,6474359.00,-31.862700964,116.013984561,GDA94
616089,616089,Stream Gauging,Stream Gauging,AWRC,Susannah Brook - Roland Road,Roland Road,12883372 [WIN_ID]; 616089 [SITE_REF]; SWS9 [TEXT_REF],SWS9,50,417589.00,6479049.00,-31.821230720,116.129215480,GDA94
616091,616091,Stream Gauging,Stream Gauging,AWRC,Bannister Creek - Hybanthus Rd Ferndale,Hybanthus Rd,12883479 [WIN_ID]; 616091 [SITE_REF]; BANNC [TEXT_REF]; SWS2 [TEXT_HIST],BANNC,50,397775.00,6454806.00,-32.038305650,115.917320570,GDA94
616092,616092,Stream Gauging,Stream Gauging,AWRC,Southern River - Anaconda Drive Huntingdale,Anaconda Drive,13802403 [WIN_ID]; 616092 [SITE_REF]; STHNR [TEXT_REF]; SWS7 [TEXT_HIST],STHNR,50,403622.00,6450423.00,-32.078355232,115.978799149,GDA94
616099,616099,Stream Gauging,Stream Gauging,AWRC,Susannah Brook - River Rd Herne Hill,River Rd,13861181 [WIN_ID]; 616099 [SITE_REF]; AS03 [TEXT2]; SUSANB [TEXT_REF]; SWN11 [TEXT_HIST],SUSANB,50,406686.00,6479346.00,-31.817711536,116.014050910,GDA94
