ISOTime,Flow,Sal,Temp,TRACE_1,AGE,SS1,SS2,Oxy,Sil,Amm,Nit,FRP,FRP_ADS,DOC,POC,DON,PON,DOP,POP,DOCR,DONR,DOPR,CPOM,GRN,BGA,CRYPT,DIATOM,DINO,DINO_IN
01/01/2007 00:00:00,0.000000,6.200932,24.961836,1.000000,0.000000,1.297724,0.556167,215.625000,125.558072,1.035271,0.910074,0.242136,0.024214,141.229101,374.458202,12.238216,30.561222,0.022973,0.028716,1271.061909,28.555838,0.005743,37.445820,1.955321,1.303548,1.303548,1.955321,6.517738,0.983809
02/01/2007 00:00:00,0.000000,6.136217,24.271549,1.000000,0.000000,1.226900,0.525814,215.625000,125.558072,1.027344,0.898178,0.245716,0.024572,139.306127,370.612254,12.666292,31.976257,0.029990,0.037487,1253.755141,29.554682,0.007497,37.061225,2.204112,1.469408,1.469408,2.204112,7.347040,1.108987
03/01/2007 00:00:00,0.000000,6.071502,23.581262,1.000000,0.000000,1.156076,0.495461,215.625000,125.558072,1.019416,0.886281,0.249296,0.024930,137.383153,366.766305,13.094368,33.391291,0.037007,0.046259,1236.448373,30.553526,0.009252,36.676631,2.452903,1.635268,1.635268,2.452903,8.176342,1.234165
04/01/2007 00:00:00,0.000000,6.006786,22.890975,1.000000,0.000000,1.085252,0.465108,215.625000,125.558072,1.011489,0.874385,0.252876,0.025288,135.460178,362.920357,13.522444,34.806326,0.044024,0.055030,1219.141606,31.552370,0.011006,36.292036,2.701693,1.801129,1.801129,2.701693,9.005644,1.359342
05/01/2007 00:00:00,0.000000,6.013256,22.903161,1.000000,0.000000,1.014428,0.434755,210.617940,125.558072,1.003562,0.862488,0.256456,0.025646,133.537204,359.074408,13.950520,36.221360,0.051041,0.063801,1201.834838,32.551214,0.012760,35.907441,2.950484,1.966989,1.966989,2.950484,9.834946,1.484520
06/01/2007 00:00:00,0.000000,6.071599,23.427234,1.000000,0.000000,0.943604,0.404402,201.962277,125.558072,1.049289,0.906432,0.258065,0.025806,131.614230,355.228460,13.758403,36.058662,0.048851,0.061064,1184.528070,32.102941,0.012213,35.522846,3.199274,2.132850,2.132850,3.199274,10.664248,1.609698
07/01/2007 00:00:00,0.000000,6.129942,23.951306,1.000000,0.000000,0.872781,0.374049,193.306615,125.558072,1.138792,0.995935,0.258065,0.025806,129.691256,351.382512,13.060278,34.608709,0.039150,0.048938,1167.221302,30.473982,0.009788,35.138251,3.448065,2.298710,2.298710,3.448065,11.493550,1.734875
08/01/2007 00:00:00,0.000000,6.188284,24.475378,1.000000,0.000000,0.801957,0.343696,184.650953,125.558072,1.228295,1.085438,0.258065,0.025806,127.768282,347.536563,12.362153,33.158756,0.029449,0.036812,1149.914534,28.845023,0.007362,34.753656,3.696856,2.464570,2.464570,3.696856,12.322852,1.860053
09/01/2007 00:00:00,0.000000,6.246627,24.999451,1.000000,0.000000,0.731133,0.313343,175.995290,125.558072,1.317799,1.174942,0.258065,0.025806,125.845307,343.690615,11.664027,31.708804,0.019748,0.024685,1132.607767,27.216063,0.004937,34.369061,3.945646,2.630431,2.630431,3.945646,13.152154,1.985231
10/01/2007 00:00:00,0.000000,6.281288,25.281851,1.000000,0.000000,0.700000,0.300000,181.595169,125.558072,1.405652,1.205700,0.257548,0.025755,123.002574,338.005148,11.340022,31.159243,0.018709,0.023386,1107.023167,26.460051,0.004677,33.800515,3.861296,2.574197,2.574197,3.861296,12.870987,1.942791
11/01/2007 00:00:00,0.000000,6.297348,25.374429,1.000000,0.000000,0.700000,0.300000,198.392149,125.558072,1.492210,1.190381,0.256626,0.025663,119.438394,330.876788,11.309472,31.315939,0.024463,0.030579,1074.945547,26.388768,0.006116,33.087679,3.536256,2.357504,2.357504,3.536256,11.787520,1.779248
12/01/2007 00:00:00,0.000000,6.313408,25.467006,1.000000,0.000000,0.700000,0.300000,215.189128,125.558072,1.578769,1.175062,0.255704,0.025570,115.874214,323.748428,11.278922,31.472634,0.030217,0.037771,1042.867927,26.317484,0.007554,32.374843,3.211216,2.140811,2.140811,3.211216,10.704053,1.615706
13/01/2007 00:00:00,0.000000,6.329468,25.559584,1.000000,0.000000,0.700000,0.300000,231.986107,125.558072,1.665328,1.159742,0.254781,0.025478,112.310034,316.620068,11.248372,31.629330,0.035971,0.044964,1010.790307,26.246201,0.008993,31.662007,2.886176,1.924117,1.924117,2.886176,9.620586,1.452164
14/01/2007 00:00:00,0.000000,6.345527,25.652162,1.000000,0.000000,0.700000,0.300000,248.783087,125.558072,1.751886,1.144423,0.253859,0.025386,108.745854,309.491708,11.217822,31.786025,0.041726,0.052157,978.712687,26.174917,0.010431,30.949171,2.561136,1.707424,1.707424,2.561136,8.537119,1.288622
15/01/2007 00:00:00,0.000000,6.361587,25.744739,1.000000,0.000000,0.700000,0.300000,265.580066,125.558072,1.838445,1.129103,0.252937,0.025294,105.181674,302.363348,11.187271,31.942721,0.047480,0.059350,946.635068,26.103633,0.011870,30.236335,2.236096,1.490730,1.490730,2.236096,7.453652,1.125079
